policy_number,incident_date,incident_type,collision_type,incident_severity,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
393417,1/19/18 16:06,Multi-vehicle Collision,Side Collision,Total Loss,79427,16227,7914,55097,N
838421,8/25/18 0:46,Single Vehicle Collision,Front Collision,Total Loss,56198,5549,11082,38946,N
578589,7/6/23 12:57,Vehicle Theft,?,Trivial Damage,3794,651,645,2583,N
190467,2/12/23 7:54,Multi-vehicle Collision,Rear Collision,Total Loss,59675,5353,10661,43332,N
216216,3/23/20 4:16,Parked Car,?,Minor Damage,6443,586,1190,4713,Y
243858,11/14/22 11:01,Single Vehicle Collision,Rear Collision,Minor Damage,75620,6823,13927,55753,Y
871608,4/5/20 18:19,Multi-vehicle Collision,Rear Collision,Total Loss,45932,4211,8308,33118,N
845945,5/26/17 1:29,Multi-vehicle Collision,Front Collision,Total Loss,69456,12449,6299,50856,N
608411,1/20/22 15:11,Single Vehicle Collision,Front Collision,Major Damage,64837,9954,9776,44305,N
761304,12/14/17 2:18,Single Vehicle Collision,Side Collision,Minor Damage,59833,6690,6529,45880,N
149730,9/25/19 10:29,Multi-vehicle Collision,Rear Collision,Major Damage,52002,5846,5789,40762,N
374053,9/14/21 19:03,Vehicle Theft,?,Minor Damage,6594,1309,644,4694,N
231622,7/10/16 6:58,Multi-vehicle Collision,Side Collision,Minor Damage,61336,5677,11222,44647,
339873,11/24/16 21:11,Single Vehicle Collision,Front Collision,Minor Damage,63545,10594,10832,42671,
508433,3/22/16 5:12,Parked Car,?,Trivial Damage,5420,591,604,4192,
873298,9/22/17 4:37,Single Vehicle Collision,Side Collision,Major Damage,67981,16812,5512,43749,N
875663,6/29/19 15:46,Single Vehicle Collision,Front Collision,Total Loss,61627,13276,6640,40304,N
467683,7/23/23 22:57,Multi-vehicle Collision,Side Collision,Minor Damage,77631,9752,9738,59318,N
964844,9/18/18 18:20,Multi-vehicle Collision,Side Collision,Total Loss,37060,6611,3372,26989,N
646394,7/11/20 14:24,Multi-vehicle Collision,Front Collision,Major Damage,71860,7009,14392,50716,Y
460926,8/21/19 22:51,Vehicle Theft,?,Trivial Damage,3176,574,290,2331,N
332242,9/16/21 4:29,Parked Car,?,Trivial Damage,6911,627,1263,5046,N
928254,3/22/21 21:14,Single Vehicle Collision,Front Collision,Major Damage,62300,10849,5602,45434,Y
914146,1/29/21 6:52,Single Vehicle Collision,Front Collision,Major Damage,75884,6861,13586,55818,Y
412096,8/22/22 12:14,Single Vehicle Collision,Side Collision,Total Loss,53794,4851,4887,43047,N
109432,10/8/18 23:13,Single Vehicle Collision,Rear Collision,Total Loss,55342,10011,9998,34691,Y
359695,8/13/16 18:37,Single Vehicle Collision,Side Collision,Minor Damage,38127,8381,4190,25064,
286326,11/14/20 16:44,Single Vehicle Collision,Side Collision,Major Damage,63790,5711,11614,45748,N
1000516,9/8/16 21:37,Single Vehicle Collision,Rear Collision,Minor Damage,61480,6936,6934,48255,
980951,4/10/18 20:00,Multi-vehicle Collision,Front Collision,Major Damage,64396,11903,11943,41929,Y
896088,4/5/24 7:56,Single Vehicle Collision,Front Collision,Total Loss,61027,13558,6708,40660,N
985469,3/7/20 12:04,Multi-vehicle Collision,Front Collision,Major Damage,66406,11879,12067,41514,Y
921948,4/19/21 9:40,Multi-vehicle Collision,Rear Collision,Minor Damage,51647,11968,7965,32475,N
632765,2/11/16 3:48,Vehicle Theft,?,Minor Damage,8125,1255,1234,5452,
219026,12/26/23 7:32,Single Vehicle Collision,Front Collision,Minor Damage,62436,11333,5664,45162,N
586793,9/23/22 21:43,Multi-vehicle Collision,Rear Collision,Minor Damage,53413,8877,9133,36608,Y
932762,7/10/20 21:41,Single Vehicle Collision,Rear Collision,Major Damage,53456,5408,10942,37827,Y
664468,2/8/17 11:19,Multi-vehicle Collision,Side Collision,Major Damage,66634,5468,11097,49784,Y
556733,6/26/22 17:33,Single Vehicle Collision,Rear Collision,Minor Damage,77651,12726,6492,56985,N
458112,10/18/18 17:18,Single Vehicle Collision,Side Collision,Total Loss,52980,9523,4857,38458,N
512006,5/25/22 16:26,Multi-vehicle Collision,Side Collision,Minor Damage,81151,7384,14820,58566,Y
402181,12/19/15 3:59,Single Vehicle Collision,Side Collision,Total Loss,53182,4770,4857,44159,
828562,7/22/22 12:12,Vehicle Theft,?,Minor Damage,5448,500,494,4474,N
397562,2/5/19 10:42,Multi-vehicle Collision,Rear Collision,Total Loss,83694,17084,8387,59470,N
929439,6/5/21 18:38,Vehicle Theft,?,Trivial Damage,4368,482,951,2888,N
824023,10/29/23 11:46,Multi-vehicle Collision,Front Collision,Total Loss,77167,8504,16859,50869,N
821625,9/26/17 17:18,Multi-vehicle Collision,Rear Collision,Minor Damage,62416,12590,6316,43821,N
744523,4/24/23 0:59,Multi-vehicle Collision,Rear Collision,Minor Damage,59028,10878,5300,43251,N
490368,8/7/22 4:24,Multi-vehicle Collision,Front Collision,Major Damage,61518,6776,6779,48840,N
218475,6/5/22 19:57,Parked Car,?,Minor Damage,7130,794,1590,4727,N
795329,9/29/21 18:32,Multi-vehicle Collision,Side Collision,Total Loss,55544,5633,5600,44507,N
674455,12/31/17 12:18,Multi-vehicle Collision,Rear Collision,Minor Damage,53636,4902,9690,38443,N
419407,3/19/24 14:40,Single Vehicle Collision,Side Collision,Minor Damage,81126,15850,7854,55117,N
443216,6/20/16 18:48,Parked Car,?,Minor Damage,8754,1470,1468,5921,
703554,2/17/23 4:56,Parked Car,?,Trivial Damage,4977,514,501,4034,N
778566,5/10/23 1:33,Single Vehicle Collision,Front Collision,Major Damage,36801,4134,4043,28568,Y
927412,9/19/20 6:24,Single Vehicle Collision,Side Collision,Minor Damage,70347,7721,15450,46056,N
880993,1/14/18 2:21,Single Vehicle Collision,Rear Collision,Major Damage,54280,4586,9150,41380,Y
659738,4/15/16 22:46,Single Vehicle Collision,Front Collision,Total Loss,79393,7102,14048,55969,
661513,1/17/19 23:37,Multi-vehicle Collision,Side Collision,Major Damage,67117,7489,7326,51232,Y
740562,10/12/17 17:51,Vehicle Theft,?,Trivial Damage,2701,304,298,2099,N
463597,12/24/17 21:28,Multi-vehicle Collision,Front Collision,Major Damage,44425,4903,5011,35137,Y
780219,2/2/21 2:49,Multi-vehicle Collision,Side Collision,Major Damage,50234,9903,4901,34214,N
971334,4/1/23 17:57,Multi-vehicle Collision,Side Collision,Minor Damage,51865,5181,10281,36106,N
746598,8/3/16 7:49,Vehicle Theft,?,Minor Damage,3701,678,682,2393,
260226,5/16/21 13:45,Multi-vehicle Collision,Rear Collision,Total Loss,78836,14340,7171,56760,Y
220324,3/28/18 22:40,Multi-vehicle Collision,Rear Collision,Major Damage,64642,6412,6420,51596,N
925695,7/28/19 13:39,Single Vehicle Collision,Rear Collision,Major Damage,53607,5423,10738,37398,Y
752016,4/19/18 13:00,Multi-vehicle Collision,Rear Collision,Minor Damage,57277,9501,4742,43305,N
535843,6/6/22 12:40,Vehicle Theft,?,Trivial Damage,7447,1328,669,5282,N
755544,5/6/17 4:58,Multi-vehicle Collision,Rear Collision,Minor Damage,57087,9490,4749,43091,N
924294,9/5/23 3:36,Single Vehicle Collision,Front Collision,Major Damage,71115,14348,6962,49684,N
548596,12/17/16 20:57,Single Vehicle Collision,Front Collision,Major Damage,53907,5326,5403,43607,N
155947,5/18/20 14:36,Single Vehicle Collision,Front Collision,Major Damage,55297,0,6118,48176,Y
387772,2/2/17 21:33,Single Vehicle Collision,Front Collision,Minor Damage,47586,4659,4756,38215,N
719991,1/28/16 13:45,Multi-vehicle Collision,Rear Collision,Total Loss,60515,6586,6746,48446,
981768,7/17/20 4:10,Multi-vehicle Collision,Side Collision,Major Damage,84456,12927,12944,57810,Y
493212,3/5/20 1:33,Multi-vehicle Collision,Side Collision,Total Loss,54009,9948,0,43970,N
293750,1/27/20 19:01,Vehicle Theft,?,Minor Damage,4675,473,955,3264,N
359408,1/30/20 13:54,Single Vehicle Collision,Side Collision,Minor Damage,86502,7983,23566,55164,N
584017,8/16/16 5:08,Parked Car,?,Minor Damage,2686,478,480,1710,
637879,2/20/18 17:14,Multi-vehicle Collision,Rear Collision,Major Damage,67937,12519,12284,43889,Y
671099,12/22/16 9:38,Multi-vehicle Collision,Side Collision,Major Damage,55355,6319,6185,43856,Y
845266,7/8/24 9:09,Vehicle Theft,?,Trivial Damage,6589,602,1207,4759,N
559114,1/12/24 0:49,Multi-vehicle Collision,Rear Collision,Major Damage,48751,10867,5353,32084,N
854381,2/28/20 20:09,Multi-vehicle Collision,Front Collision,Major Damage,75276,14777,7458,51929,Y
177949,11/1/17 14:23,Multi-vehicle Collision,Rear Collision,Minor Damage,68017,13604,6749,46941,N
564001,5/26/16 8:31,Multi-vehicle Collision,Rear Collision,Major Damage,47801,10575,5348,32063,
936708,11/16/17 5:30,Single Vehicle Collision,Front Collision,Minor Damage,62787,9757,14600,38577,N
329342,4/17/17 9:31,Vehicle Theft,?,Trivial Damage,2676,220,444,2007,N
335942,4/25/18 11:07,Single Vehicle Collision,Rear Collision,Major Damage,70496,13018,12825,45249,Y
393251,3/10/17 18:38,Multi-vehicle Collision,Rear Collision,Total Loss,84929,17029,8446,59562,N
189322,3/17/21 15:50,Multi-vehicle Collision,Rear Collision,Total Loss,59021,5327,10424,42738,N
486942,2/5/20 20:23,Single Vehicle Collision,Rear Collision,Total Loss,57543,6311,6367,43469,N
442867,11/19/23 9:22,Single Vehicle Collision,Front Collision,Total Loss,60987,5613,11468,45251,N
415884,5/30/23 14:47,Parked Car,?,Trivial Damage,3238,599,0,2671,N
535545,9/24/21 13:08,Single Vehicle Collision,Front Collision,Major Damage,53165,5408,5346,42992,N
1005461,12/21/20 6:32,Multi-vehicle Collision,Rear Collision,Minor Damage,49485,5536,5514,38996,Y
679040,6/24/20 21:07,Single Vehicle Collision,Side Collision,Minor Damage,68031,6879,13690,47771,N
391676,5/8/21 21:50,Single Vehicle Collision,Side Collision,Minor Damage,99684,16689,16899,67492,N
847276,11/21/22 10:13,Multi-vehicle Collision,Rear Collision,Major Damage,48138,5363,5336,37187,Y
611113,1/16/22 2:30,Single Vehicle Collision,Side Collision,Minor Damage,63014,6353,6408,50120,N
777917,5/9/17 8:12,Multi-vehicle Collision,Front Collision,Total Loss,75614,11534,11695,52129,Y
614115,12/13/23 18:34,Single Vehicle Collision,Side Collision,Minor Damage,63559,6327,6344,51495,N
698471,1/2/16 2:23,Multi-vehicle Collision,Rear Collision,Major Damage,71055,16605,11061,43756,
441148,2/11/19 17:11,Single Vehicle Collision,Front Collision,Total Loss,61592,5503,10991,45348,N
100671,10/30/20 8:54,Multi-vehicle Collision,Side Collision,Total Loss,41703,7607,7533,26087,N
98504,1/6/17 0:45,Multi-vehicle Collision,Side Collision,Total Loss,42096,7607,7609,26891,N
527570,11/7/22 11:48,Multi-vehicle Collision,Front Collision,Major Damage,55521,0,6333,50037,N
689062,10/15/20 17:46,Multi-vehicle Collision,Side Collision,Major Damage,56275,6219,6137,42584,Y
929241,12/22/22 1:54,Single Vehicle Collision,Front Collision,Minor Damage,74818,15121,7518,51693,N
354078,12/30/20 16:15,Single Vehicle Collision,Rear Collision,Minor Damage,45079,4990,5086,34928,N
365564,8/29/22 3:05,Vehicle Theft,?,Minor Damage,6522,1303,644,4554,N
867396,2/8/21 0:57,Multi-vehicle Collision,Front Collision,Major Damage,62970,5682,11637,46490,N
515297,10/14/22 19:20,Multi-vehicle Collision,Side Collision,Minor Damage,84587,12943,12954,58938,N
843811,4/5/20 1:35,Multi-vehicle Collision,Front Collision,Total Loss,69708,12463,6378,49708,N
500222,7/8/19 17:07,Single Vehicle Collision,Front Collision,Minor Damage,63219,5697,11771,45786,N
340652,2/16/22 19:16,Single Vehicle Collision,Rear Collision,Major Damage,70761,13007,12848,45192,Y
1012693,7/15/23 5:57,Single Vehicle Collision,Side Collision,Total Loss,65557,10842,5419,48454,N
153133,7/25/16 6:27,Single Vehicle Collision,Front Collision,Major Damage,55227,0,6096,49659,
630856,12/27/23 16:58,Multi-vehicle Collision,Rear Collision,Total Loss,80098,13157,13191,52961,N
392198,4/22/22 5:52,Single Vehicle Collision,Side Collision,Minor Damage,102251,17248,16897,66524,N
407449,9/8/21 4:12,Single Vehicle Collision,Side Collision,Total Loss,53208,4853,4951,44244,N
532864,11/16/20 2:10,Vehicle Theft,?,Minor Damage,4871,965,481,3316,N
617060,2/16/17 19:57,Single Vehicle Collision,Side Collision,Major Damage,44592,4387,8635,30793,N
549402,1/4/16 12:55,Single Vehicle Collision,Front Collision,Major Damage,54405,5402,5274,42569,
419587,4/12/18 5:26,Multi-vehicle Collision,Side Collision,Major Damage,67086,6132,12034,48565,Y
358298,1/17/20 8:13,Single Vehicle Collision,Rear Collision,Minor Damage,44900,5008,5025,35230,N
582753,5/23/21 21:19,Parked Car,?,Minor Damage,2628,479,477,1665,N
149636,10/28/17 18:25,Multi-vehicle Collision,Rear Collision,Major Damage,51666,5856,5810,40396,N
470283,9/11/20 22:51,Multi-vehicle Collision,Side Collision,Minor Damage,78948,9657,9718,58252,N
388183,4/12/23 13:06,Parked Car,?,Minor Damage,6121,674,687,4716,Y
613455,3/8/19 2:23,Single Vehicle Collision,Side Collision,Minor Damage,64238,6441,6459,50013,N
599736,11/25/16 13:54,Multi-vehicle Collision,Rear Collision,Major Damage,70425,15271,0,53442,
499763,5/31/20 11:55,Multi-vehicle Collision,Side Collision,Major Damage,61586,5486,10835,44619,Y
730644,1/17/18 13:57,Single Vehicle Collision,Rear Collision,Major Damage,59212,0,6568,51761,N
898600,10/21/22 18:32,Single Vehicle Collision,Rear Collision,Major Damage,54011,4598,8993,40834,Y
375312,10/11/16 7:06,Single Vehicle Collision,Side Collision,Total Loss,55669,13857,0,41518,
339108,12/29/23 10:46,Multi-vehicle Collision,Front Collision,Total Loss,29741,3277,3268,23428,N
538007,6/23/21 4:38,Vehicle Theft,?,Trivial Damage,7174,1328,658,5195,N
508170,4/21/24 8:30,Multi-vehicle Collision,Side Collision,Minor Damage,82317,7375,14576,58628,Y
239053,9/16/17 23:13,Multi-vehicle Collision,Rear Collision,Minor Damage,95030,13760,20462,61013,N
447239,4/2/16 17:05,Single Vehicle Collision,Front Collision,Total Loss,60659,5577,11099,43622,
869260,2/14/23 18:25,Multi-vehicle Collision,Rear Collision,Total Loss,46518,4185,8353,33364,N
845570,10/18/18 8:56,Vehicle Theft,?,Trivial Damage,6619,611,1207,4788,N
870057,6/14/24 8:19,Single Vehicle Collision,Front Collision,Total Loss,80594,13300,6676,60286,N
348647,5/6/24 7:59,Single Vehicle Collision,Front Collision,Minor Damage,42560,0,5496,37095,Y
129628,11/2/18 0:03,Single Vehicle Collision,Front Collision,Total Loss,41556,4605,4490,32062,N
717050,3/4/21 10:09,Multi-vehicle Collision,Front Collision,Total Loss,67496,15064,7471,45487,N
638310,11/16/20 10:32,Single Vehicle Collision,Front Collision,Total Loss,56068,11246,11104,33558,N
516955,8/13/16 1:54,Single Vehicle Collision,Front Collision,Total Loss,85992,15452,15517,53029,
565952,1/28/23 16:47,Multi-vehicle Collision,Rear Collision,Major Damage,48115,10775,5365,32260,N
462000,11/15/23 13:24,Multi-vehicle Collision,Rear Collision,Major Damage,55671,5572,11033,39283,Y
434700,10/31/23 5:34,Multi-vehicle Collision,Rear Collision,Major Damage,63930,12950,6376,45572,Y
911105,10/22/22 19:36,Single Vehicle Collision,Rear Collision,Minor Damage,82225,7426,7530,67187,N
531423,8/29/17 20:30,Vehicle Theft,?,Trivial Damage,7102,1338,656,5293,N
278095,10/31/21 2:56,Multi-vehicle Collision,Rear Collision,Major Damage,41150,4538,4550,31941,N
227669,7/25/23 16:45,Single Vehicle Collision,Front Collision,Major Damage,63985,6442,6406,50673,Y
776478,3/8/19 10:45,Multi-vehicle Collision,Side Collision,Major Damage,49544,9689,4925,34466,N
521462,6/5/17 3:55,Multi-vehicle Collision,Rear Collision,Total Loss,50189,5461,5429,38800,N
547091,6/7/20 19:29,Parked Car,?,Minor Damage,5070,459,926,3688,N
117476,2/8/21 9:18,Multi-vehicle Collision,Side Collision,Major Damage,68450,13806,6911,48486,Y
958987,10/15/19 15:22,Multi-vehicle Collision,Rear Collision,Total Loss,36420,3331,10007,22844,N
686225,6/6/24 16:23,Multi-vehicle Collision,Side Collision,Total Loss,86358,13045,13373,60760,N
824481,10/13/16 9:16,Multi-vehicle Collision,Rear Collision,Minor Damage,64633,12749,6214,43874,
926196,5/21/23 21:47,Single Vehicle Collision,Rear Collision,Major Damage,52909,5443,10972,37420,Y
226511,8/28/21 0:41,Single Vehicle Collision,Front Collision,Major Damage,62071,6326,6399,51350,Y
329686,7/29/18 21:46,Multi-vehicle Collision,Side Collision,Minor Damage,47100,7900,7739,31098,N
701891,4/10/20 6:59,Single Vehicle Collision,Front Collision,Minor Damage,63302,6875,7088,49462,N
336942,5/12/16 18:29,Multi-vehicle Collision,Front Collision,Total Loss,29710,3294,3254,22728,
476652,1/21/23 9:13,Single Vehicle Collision,Side Collision,Minor Damage,49497,3962,8135,36764,N
256516,12/19/19 1:59,Single Vehicle Collision,Front Collision,Major Damage,76719,12982,12733,50778,Y
428246,12/6/16 9:04,Multi-vehicle Collision,Side Collision,Major Damage,77227,6951,14193,54878,N
343158,10/22/18 13:15,Single Vehicle Collision,Front Collision,Minor Damage,63367,10622,10768,43201,N
393796,4/5/22 4:14,Vehicle Theft,?,Trivial Damage,6906,1044,1050,4642,N
574393,1/27/23 15:42,Single Vehicle Collision,Side Collision,Total Loss,40928,4048,4019,32038,N
450440,8/6/17 12:22,Multi-vehicle Collision,Rear Collision,Total Loss,42670,4236,4359,33797,Y
459731,5/14/19 7:53,Multi-vehicle Collision,Front Collision,Major Damage,49664,7638,3812,37969,Y
802268,8/28/16 1:22,Vehicle Theft,?,Trivial Damage,7159,1161,1171,4671,
389191,1/21/20 20:54,Parked Car,?,Trivial Damage,6345,638,630,5110,N
848271,7/26/23 1:07,Vehicle Theft,?,Trivial Damage,6668,596,1207,4863,N
788754,6/4/23 20:11,Multi-vehicle Collision,Rear Collision,Minor Damage,65887,6032,11932,48448,N
923564,5/23/19 17:36,Multi-vehicle Collision,Rear Collision,Minor Damage,52138,11960,7893,31561,N
643973,12/29/20 23:32,Parked Car,?,Trivial Damage,5820,740,738,4434,N
768619,2/10/22 21:08,Multi-vehicle Collision,Rear Collision,Minor Damage,57503,9579,4688,43347,N
752069,1/25/23 5:11,Multi-vehicle Collision,Rear Collision,Minor Damage,57729,9593,4808,43085,N
938440,5/12/18 21:07,Single Vehicle Collision,Front Collision,Major Damage,61767,11197,5551,44681,Y
600488,7/24/18 16:22,Vehicle Theft,?,Trivial Damage,5345,535,539,4149,Y
289699,1/4/18 16:38,Single Vehicle Collision,Side Collision,Major Damage,63456,5630,11285,45576,N
842271,6/18/24 4:16,Vehicle Theft,?,Minor Damage,5533,490,503,4431,N
965156,3/28/24 7:40,Single Vehicle Collision,Rear Collision,Major Damage,68547,14040,6849,48406,Y
270547,2/6/21 15:30,Multi-vehicle Collision,Front Collision,Total Loss,77214,15504,7700,55022,N
368533,3/3/17 19:26,Single Vehicle Collision,Front Collision,Total Loss,50697,5003,10104,34721,N
932705,5/6/20 1:38,Multi-vehicle Collision,Rear Collision,Minor Damage,51224,12074,7937,32145,N
796357,6/27/24 22:21,Multi-vehicle Collision,Rear Collision,Major Damage,35361,3530,3517,28543,Y
782099,11/22/21 18:20,Single Vehicle Collision,Rear Collision,Minor Damage,76255,7579,15152,51380,N
946303,11/23/22 4:01,Multi-vehicle Collision,Rear Collision,Major Damage,44304,8252,4067,32833,Y
631609,2/10/23 5:44,Single Vehicle Collision,Front Collision,Major Damage,46904,13113,4295,30452,Y
359368,3/21/17 13:48,Single Vehicle Collision,Side Collision,Minor Damage,85219,7892,23470,56155,N
440757,7/20/18 20:24,Multi-vehicle Collision,Rear Collision,Total Loss,42770,4377,4316,34197,Y
906729,4/2/22 17:42,Multi-vehicle Collision,Rear Collision,Minor Damage,51312,11822,7936,31869,N
512039,12/27/20 21:23,Parked Car,?,Trivial Damage,5302,610,594,4247,N
222850,8/29/17 3:46,Parked Car,?,Minor Damage,6994,801,1614,4871,N
390045,10/24/22 21:46,Single Vehicle Collision,Front Collision,Minor Damage,47290,4702,4717,37767,N
1014917,3/15/16 14:21,Multi-vehicle Collision,Rear Collision,Minor Damage,50116,5499,5652,38817,
511480,11/17/20 3:15,Multi-vehicle Collision,Side Collision,Minor Damage,83437,12998,13248,58232,N
295912,11/21/23 3:10,Vehicle Theft,?,Minor Damage,4700,468,939,3306,N
816944,8/14/16 19:42,Parked Car,?,Minor Damage,8748,871,1721,5978,
476474,10/1/22 13:39,Multi-vehicle Collision,Front Collision,Major Damage,44471,4863,4948,34309,Y
469948,1/28/16 5:24,Multi-vehicle Collision,Front Collision,Major Damage,44595,4945,4886,35004,
946308,10/20/16 16:49,Multi-vehicle Collision,Front Collision,Minor Damage,69983,11593,11664,45767,
264114,4/11/18 12:43,Single Vehicle Collision,Side Collision,Major Damage,95317,9639,9737,76632,N
525257,12/28/19 11:42,Multi-vehicle Collision,Front Collision,Major Damage,57020,0,6281,50138,N
785859,10/13/19 13:13,Multi-vehicle Collision,Rear Collision,Minor Damage,68203,12420,12257,43034,N
213529,1/11/23 23:30,Single Vehicle Collision,Front Collision,Minor Damage,63699,11374,5728,46603,N
185044,9/20/21 0:27,Single Vehicle Collision,Rear Collision,Major Damage,108293,17983,18054,72420,N
982101,5/2/19 3:17,Single Vehicle Collision,Rear Collision,Total Loss,58331,4763,9826,42024,Y
534099,1/14/19 3:40,Multi-vehicle Collision,Front Collision,Major Damage,56911,0,6289,49526,N
451110,3/28/21 10:59,Parked Car,?,Minor Damage,8704,1467,1472,5868,N
271183,10/25/18 16:30,Parked Car,?,Trivial Damage,101,10,21,70,N
764501,10/24/20 2:25,Single Vehicle Collision,Side Collision,Minor Damage,59268,6710,6584,46328,N
664094,4/26/17 10:53,Multi-vehicle Collision,Front Collision,Minor Damage,68108,6725,13336,47329,Y
467122,8/9/22 14:55,Multi-vehicle Collision,Side Collision,Minor Damage,75996,9641,9688,57978,N
384179,7/28/20 16:03,Multi-vehicle Collision,Rear Collision,Minor Damage,54301,5328,5364,41469,Y
164163,12/24/19 15:44,Single Vehicle Collision,Rear Collision,Total Loss,55733,11114,5592,38900,N
130138,12/5/16 7:59,Single Vehicle Collision,Front Collision,Total Loss,42028,4587,4508,31611,N
871881,7/16/21 12:46,Single Vehicle Collision,Side Collision,Major Damage,66842,16816,5577,44183,N
369741,3/20/16 11:24,Single Vehicle Collision,Front Collision,Total Loss,50259,4979,9950,34598,
840239,4/12/23 4:45,Single Vehicle Collision,Rear Collision,Minor Damage,49981,14805,4959,30002,N
545252,5/23/24 9:38,Single Vehicle Collision,Rear Collision,Minor Damage,75810,12789,6357,57010,N
522668,7/7/24 8:04,Single Vehicle Collision,Rear Collision,Total Loss,74122,13699,6857,55319,N
816716,6/8/20 3:50,Parked Car,?,Minor Damage,8717,869,1773,6124,N
928158,11/8/21 11:34,Single Vehicle Collision,Rear Collision,Minor Damage,81825,7490,7542,66266,N
267984,6/19/19 21:41,Multi-vehicle Collision,Rear Collision,Total Loss,80856,14098,7135,56913,Y
101165,9/27/22 0:58,Multi-vehicle Collision,Side Collision,Total Loss,41765,7472,7562,26599,N
509609,6/14/19 16:17,Multi-vehicle Collision,Rear Collision,Major Damage,64825,7146,20949,35047,N
510294,3/4/16 2:29,Single Vehicle Collision,Side Collision,Total Loss,91130,16556,16352,58905,
433654,9/14/21 2:19,Single Vehicle Collision,Side Collision,Major Damage,52335,9387,4715,37750,Y
287334,9/25/23 16:50,Single Vehicle Collision,Side Collision,Major Damage,62482,5692,11617,45569,N
388193,2/7/19 12:52,Parked Car,?,Trivial Damage,6368,630,630,5098,N
864924,11/25/20 11:54,Vehicle Theft,?,Minor Damage,4597,761,382,3414,N
300059,5/2/22 16:40,Multi-vehicle Collision,Rear Collision,Major Damage,88245,17401,17043,53309,N
280903,12/21/18 2:49,Multi-vehicle Collision,Rear Collision,Major Damage,41375,4552,4576,32923,N
417060,3/13/20 1:50,Multi-vehicle Collision,Rear Collision,Minor Damage,51304,5663,11272,34105,N
757541,6/17/22 7:50,Multi-vehicle Collision,Side Collision,Minor Damage,66166,6604,6573,53300,N
726696,9/9/17 15:39,Multi-vehicle Collision,Side Collision,Minor Damage,65390,6526,6676,53287,N
301280,3/19/17 20:00,Multi-vehicle Collision,Front Collision,Major Damage,93158,7903,15854,70395,N
666031,3/13/18 14:50,Single Vehicle Collision,Front Collision,Total Loss,78660,7154,14233,57301,N
314445,12/17/18 15:13,Multi-vehicle Collision,Rear Collision,Total Loss,78016,12990,19420,45130,Y
364699,11/6/23 3:41,Single Vehicle Collision,Front Collision,Total Loss,49842,4903,10118,35295,N
188174,4/6/21 3:59,Multi-vehicle Collision,Rear Collision,Major Damage,66794,11122,11045,43670,N
464278,6/15/23 6:59,Vehicle Theft,?,Trivial Damage,3191,576,292,2309,N
989437,2/6/24 19:27,Single Vehicle Collision,Rear Collision,Total Loss,56670,4808,9561,43887,Y
352882,1/12/21 21:56,Single Vehicle Collision,Side Collision,Minor Damage,85641,7781,23866,56273,N
644135,9/27/23 10:39,Single Vehicle Collision,Front Collision,Total Loss,55648,10762,11185,33996,N
953030,3/4/24 23:32,Vehicle Theft,?,Minor Damage,8609,1447,715,6457,N
902937,12/26/22 22:56,Single Vehicle Collision,Front Collision,Major Damage,75972,6810,13910,53991,Y
309869,5/25/19 3:02,Single Vehicle Collision,Rear Collision,Minor Damage,43596,5522,5438,33186,N
482545,10/13/18 20:15,Multi-vehicle Collision,Front Collision,Major Damage,61399,6903,6966,48565,N
419280,5/21/18 22:29,Single Vehicle Collision,Side Collision,Total Loss,90404,16517,16708,57574,N
357160,3/31/24 10:54,Single Vehicle Collision,Side Collision,Minor Damage,37983,8315,4155,25211,N
940764,12/20/15 13:26,Single Vehicle Collision,Front Collision,Minor Damage,62304,9849,14257,38525,
379566,9/1/23 7:38,Multi-vehicle Collision,Side Collision,Minor Damage,62620,6178,6201,49107,N
838493,2/13/18 18:02,Multi-vehicle Collision,Rear Collision,Major Damage,47653,5390,5288,36478,Y
134578,2/8/19 22:18,Vehicle Theft,?,Minor Damage,5432,1087,550,3757,N
697589,12/15/16 10:26,Multi-vehicle Collision,Rear Collision,Major Damage,71877,16687,11175,43835,Y
532210,8/9/20 12:17,Multi-vehicle Collision,Front Collision,Total Loss,59807,10877,10749,37836,N
276065,5/24/24 19:04,Parked Car,?,Trivial Damage,4978,500,998,3471,Y
352294,3/9/19 11:50,Parked Car,?,Trivial Damage,4521,442,454,3552,N
662657,12/14/20 15:42,Multi-vehicle Collision,Side Collision,Major Damage,66728,7567,7366,51221,Y
260409,2/29/20 21:14,Multi-vehicle Collision,Front Collision,Minor Damage,58746,11787,5909,41433,Y
804240,4/6/19 0:16,Multi-vehicle Collision,Front Collision,Total Loss,76272,11613,11528,51749,Y
420476,8/10/23 17:19,Multi-vehicle Collision,Side Collision,Major Damage,76035,6744,14114,55758,N
546730,7/30/20 1:29,Single Vehicle Collision,Rear Collision,Minor Damage,78047,12642,6435,57844,N
520536,11/7/23 21:29,Parked Car,?,Trivial Damage,5425,606,597,4176,N
565074,4/6/19 8:38,Multi-vehicle Collision,Rear Collision,Major Damage,47961,10730,5275,32318,N
312910,4/20/21 19:07,Single Vehicle Collision,Rear Collision,Minor Damage,44215,5479,5459,32671,N
391625,3/25/24 21:08,Parked Car,?,Minor Damage,6100,680,661,4736,Y
560991,5/9/20 13:14,Single Vehicle Collision,Front Collision,Total Loss,64234,10570,5286,48301,N
703988,3/22/21 12:52,Parked Car,?,Trivial Damage,5055,506,498,3976,N
